"Industries,
 Prefectures and 21 Major cities",,,,,Number of establishments,,,,Number of persons engaged,Total cash wages and salaries,"Cost of raw materials, fuels and electricity consumed, and subcontracting expenses for consigned production",Value of manufactured goods shipments,Value of production,Value added
23,非鉄金属製造業,62,仙台市,2019,***,***,***,***,***,***,***,***,***,***
23,非鉄金属製造業,63,さいたま市,2019,1,1,***,***,74,X,X,X,X,X
23,非鉄金属製造業,64,千葉市,2019,2,***,2,***,334,X,X,X,X,X
23,非鉄金属製造業,65,東京特別区,2019,8,7,1,***,421,"2,291","15,408","21,108","20,003","5,261"
23,非鉄金属製造業,66,横浜市,2019,4,3,***,1,442,"2,424","10,603","16,979","17,414","6,468"
23,非鉄金属製造業,67,川崎市,2019,2,2,***,***,94,X,X,X,X,X
23,非鉄金属製造業,68,相模原市,2019,6,6,***,***,379,"2,010","14,835","19,373","19,109","4,904"
23,非鉄金属製造業,69,新潟市,2019,2,***,1,1,788,X,X,X,X,X
23,非鉄金属製造業,70,静岡市,2019,9,4,2,3,"2,095","12,136","80,002","128,960","122,333","40,455"
23,非鉄金属製造業,71,浜松市,2019,3,2,1,***,238,"1,267","2,637","6,080","6,056","2,408"
23,非鉄金属製造業,72,名古屋市,2019,5,3,***,2,"2,161","14,780","117,906","158,541","155,754","30,468"
23,非鉄金属製造業,73,京都市,2019,4,2,1,1,778,"4,955","40,397","51,012","47,549","8,417"
23,非鉄金属製造業,74,大阪市,2019,13,10,2,1,"2,674","19,899","197,595","222,617","147,267","20,697"
23,非鉄金属製造業,75,堺市,2019,16,10,4,2,"1,970","11,727","266,122","301,888","282,883","31,170"
23,非鉄金属製造業,76,神戸市,2019,10,6,3,1,"1,279","8,131","8,694","18,113","17,820","8,100"
23,非鉄金属製造業,77,岡山市,2019,4,2,2,***,485,"2,822","13,063","19,255","15,219","5,639"
23,非鉄金属製造業,78,広島市,2019,3,1,1,1,874,"5,412","13,874","33,705","33,655","16,166"
23,非鉄金属製造業,79,北九州市,2019,16,10,6,***,"1,531",X,X,X,X,X
23,非鉄金属製造業,80,福岡市,2019,1,1,***,***,30,X,X,X,X,X
23,非鉄金属製造業,81,熊本市,2019,***,***,***,***,***,***,***,***,***,***
24,金属製品製造業,00,全国計,2015,"4,227","3,474",660,93,"329,087","1,498,044","5,769,862","10,129,045","9,436,118","3,784,284"
24,金属製品製造業,00,全国計,2016,"4,184","3,360",710,114,"344,179","1,545,418","5,794,536","10,221,655","9,543,185","3,772,274"
24,金属製品製造業,00,全国計,2017,"4,345","3,485",744,116,"359,764","1,615,906","6,211,320","10,934,370","10,232,345","4,103,248"
24,金属製品製造業,00,全国計,2018,"4,440","3,566",748,126,"367,798","1,690,589","6,551,278","11,405,132","10,864,065","4,295,757"
24,金属製品製造業,00,全国計,2019,"4,451","3,584",744,123,"368,912","1,715,783","6,594,733","11,486,729","10,826,842","4,203,880"
24,金属製品製造業,01,北海道,2019,84,75,8,1,"5,717","27,446","117,046","202,973","186,070","73,791"
24,金属製品製造業,02,青森県,2019,25,24,1,***,"1,384","5,244","22,253","34,321","31,085","10,759"
24,金属製品製造業,03,岩手県,2019,42,32,8,2,"3,852","20,378","49,507","91,740","81,676","34,049"
24,金属製品製造業,04,宮城県,2019,49,39,8,2,"5,668","26,037","91,759","164,480","150,768","61,932"
24,金属製品製造業,05,秋田県,2019,35,30,5,***,"2,415","9,451","27,958","53,145","52,373","21,640"
24,金属製品製造業,06,山形県,2019,52,45,7,***,"3,296","13,135","42,585","78,489","79,901","32,382"
24,金属製品製造業,07,福島県,2019,85,68,15,2,"7,533","35,703","128,440","212,831","208,483","71,247"
24,金属製品製造業,08,茨城県,2019,181,145,24,12,"17,240","77,302","439,250","709,270","633,788","235,072"
24,金属製品製造業,09,栃木県,2019,126,100,23,3,"9,756","46,869","261,080","408,794","394,106","128,220"
24,金属製品製造業,10,群馬県,2019,144,119,22,3,"12,070","54,579","191,642","360,426","326,745","128,904"
24,金属製品製造業,11,埼玉県,2019,229,190,38,1,"16,177","75,567","270,982","484,017","470,920","181,729"
24,金属製品製造業,12,千葉県,2019,162,124,34,4,"13,245","65,337","271,257","504,360","486,225","202,395"
24,金属製品製造業,13,東京都,2019,83,75,7,1,"4,773","22,770","41,822","89,558","87,157","40,516"
24,金属製品製造業,14,神奈川県,2019,168,141,20,7,"15,410","85,057","312,817","479,869","404,566","137,360"
24,金属製品製造業,15,新潟県,2019,193,151,39,3,"15,520","64,992","218,922","396,206","376,630","157,938"
24,金属製品製造業,16,富山県,2019,127,90,31,6,"14,771","68,086","208,021","349,516","335,144","116,576"
24,金属製品製造業,17,石川県,2019,57,43,14,***,"4,378","20,146","52,123","97,372","96,733","38,147"
24,金属製品製造業,18,福井県,2019,32,25,6,1,"2,738","11,859","40,576","73,119","68,410","27,947"
24,金属製品製造業,19,山梨県,2019,33,27,6,***,"2,501","11,835","42,952","79,305","77,205","31,025"
24,金属製品製造業,20,長野県,2019,118,91,23,4,"9,592","44,994","155,375","273,733","266,281","99,952"
24,金属製品製造業,21,岐阜県,2019,152,123,23,6,"12,586","56,188","200,543","366,570","353,019","142,700"
24,金属製品製造業,22,静岡県,2019,188,165,19,4,"14,044","61,692","233,859","382,352","366,389","126,827"
24,金属製品製造業,23,愛知県,2019,413,323,69,21,"37,653","181,795","750,045","1,287,723","1,194,334","460,462"
24,金属製品製造業,24,三重県,2019,102,73,25,4,"10,390","48,655","167,669","320,758","311,869","131,621"
24,金属製品製造業,25,滋賀県,2019,94,67,24,3,"8,548","40,563","211,676","362,585","355,105","130,922"
24,金属製品製造業,26,京都府,2019,79,66,11,2,"5,823","26,983","76,183","139,469","132,512","54,297"
24,金属製品製造業,27,大阪府,2019,410,339,65,6,"29,881","144,612","514,575","959,635","900,496","392,541"
24,金属製品製造業,28,兵庫県,2019,233,185,42,6,"19,194","90,935","385,097","650,152","622,905","229,497"
24,金属製品製造業,29,奈良県,2019,38,31,6,1,"2,768","11,789","74,187","123,016","124,663","45,266"
24,金属製品製造業,30,和歌山県,2019,34,30,4,***,"2,190","9,626","35,996","66,618","64,607","25,353"
24,金属製品製造業,31,鳥取県,2019,21,16,5,***,"1,495","5,527","17,133","32,458","32,168","12,770"
24,金属製品製造業,32,島根県,2019,14,11,3,***,"1,042","4,571","17,187","28,456","28,093","9,495"
24,金属製品製造業,33,岡山県,2019,57,43,11,3,"5,539","25,940","111,037","185,573","181,713","60,389"
24,金属製品製造業,34,広島県,2019,102,79,22,1,"7,452","35,405","121,896","213,110","209,810","80,361"
24,金属製品製造業,35,山口県,2019,47,38,8,1,"4,024","19,668","103,033","157,119","121,698","48,873"
24,金属製品製造業,36,徳島県,2019,23,19,2,2,"2,290","10,307","29,985","55,154","49,633","22,143"
24,金属製品製造業,37,香川県,2019,47,36,10,1,"4,565","21,173","79,497","138,374","143,826","58,519"
24,金属製品製造業,38,愛媛県,2019,21,18,2,1,"1,489","5,930","22,761","40,719","36,033","15,973"
24,金属製品製造業,39,高知県,2019,9,9,***,***,359,"1,441","3,335","5,741","5,578","2,423"
24,金属製品製造業,40,福岡県,2019,141,115,21,5,"13,215","56,706","251,900","422,369","400,697","147,412"
24,金属製品製造業,41,佐賀県,2019,29,20,9,***,"2,313","11,493","48,647","85,092","83,509","29,647"
24,金属製品製造業,42,長崎県,2019,26,21,3,2,"2,460","10,480","20,721","45,020","39,785","21,323"
24,金属製品製造業,43,熊本県,2019,44,33,9,2,"5,074","23,262","65,885","145,685","139,338","68,550"
24,金属製品製造業,44,大分県,2019,36,33,3,***,"2,415","8,753","22,049","46,147","43,445","20,659"
24,金属製品製造業,45,宮崎県,2019,22,19,3,***,"1,377","4,767","12,709","24,901","21,470","10,624"
24,金属製品製造業,46,鹿児島県,2019,22,18,4,***,"1,421","5,575","15,321","28,611","26,575","10,966"
24,金属製品製造業,47,沖縄県,2019,22,20,2,***,"1,269","5,160","15,441","29,797","23,309","12,687"
24,金属製品製造業,61,札幌市,2019,20,18,2,***,"1,134","5,622","23,685","38,743","36,805","12,604"
24,金属製品製造業,62,仙台市,2019,6,5,1,***,447,"2,228","7,651","13,735","13,512","4,720"
24,金属製品製造業,63,さいたま市,2019,17,12,5,***,"1,621","7,996","26,298","45,701","45,292","15,938"
24,金属製品製造業,64,千葉市,2019,16,12,4,***,"1,300","6,776","22,407","38,369","38,402","13,899"
24,金属製品製造業,65,東京特別区,2019,55,48,7,***,"3,112","14,669","31,092","64,199","62,497","29,728"
24,金属製品製造業,66,横浜市,2019,55,46,8,1,"5,737","32,710","114,582","156,114","101,256","34,304"
24,金属製品製造業,67,川崎市,2019,23,20,3,***,"1,380","6,972","13,217","35,888","26,941","19,942"
24,金属製品製造業,68,相模原市,2019,17,14,1,2,"2,288","11,911","98,449","130,329","128,507","22,893"
24,金属製品製造業,69,新潟市,2019,29,20,7,2,"3,457","16,838","46,615","86,176","84,949","35,575"
24,金属製品製造業,70,静岡市,2019,24,20,3,1,"1,930","8,686","36,737","59,312","56,417","19,677"
24,金属製品製造業,71,浜松市,2019,40,35,5,***,"2,640","11,972","33,233","63,870","63,406","26,692"
24,金属製品製造業,72,名古屋市,2019,69,59,10,***,"4,621","22,946","63,173","118,585","104,875","48,619"
24,金属製品製造業,73,京都市,2019,28,23,4,1,"2,427","11,881","30,199","53,468","51,489","19,490"
24,金属製品製造業,74,大阪市,2019,100,82,16,2,"7,878","40,110","149,366","243,359","238,158","92,328"
24,金属製品製造業,75,堺市,2019,49,39,8,2,"3,961","20,772","61,018","189,995","177,867","105,776"
24,金属製品製造業,76,神戸市,2019,24,21,3,***,"1,318","6,788","18,980","34,375","29,630","13,499"
24,金属製品製造業,77,岡山市,2019,13,10,3,***,875,"3,905","24,065","35,538","35,400","9,850"
24,金属製品製造業,78,広島市,2019,28,20,7,1,"2,411","12,575","29,571","57,941","57,791","24,620"
24,金属製品製造業,79,北九州市,2019,46,32,11,3,"6,242","25,251","142,248","217,620","203,756","63,493"
24,金属製品製造業,80,福岡市,2019,4,4,***,***,214,898,843,"2,472","2,367","1,364"
24,金属製品製造業,81,熊本市,2019,10,7,3,***,889,"3,929","9,155","19,134","18,522","8,742"
25,はん用機械器具製造業,00,全国計,2015,"1,677","1,135",379,163,"245,996","1,388,981","5,926,375","9,768,541","9,375,502","3,480,625"
25,はん用機械器具製造業,00,全国計,2016,"1,657","1,071",401,185,"259,535","1,425,105","5,953,890","10,065,465","9,451,837","3,680,714"
25,はん用機械器具製造業,00,全国計,2017,"1,696","1,110",397,189,"268,138","1,445,816","6,461,124","10,713,877","10,106,181","3,905,396"
25,はん用機械器具製造業,00,全国計,2018,"1,747","1,138",422,187,"271,778","1,508,396","6,781,159","11,275,186","10,605,347","4,013,044"
25,はん用機械器具製造業,00,全国計,2019,"1,746","1,145",411,190,"269,801","1,519,188","6,665,515","11,074,708","10,518,306","3,973,304"
25,はん用機械器具製造業,01,北海道,2019,22,20,1,1,"1,680","6,290","18,258","36,398","31,045","15,020"
25,はん用機械器具製造業,02,青森県,2019,3,3,***,***,132,X,X,X,X,X
25,はん用機械器具製造業,03,岩手県,2019,15,9,2,4,"3,625","15,442","52,144","114,370","115,725","61,270"
25,はん用機械器具製造業,04,宮城県,2019,13,10,3,***,993,"4,344","12,213","24,027","23,020","10,473"
25,はん用機械器具製造業,05,秋田県,2019,12,10,2,***,871,"3,275","8,147","16,924","16,024","7,631"
25,はん用機械器具製造業,06,山形県,2019,27,21,5,1,"2,582","11,594","32,722","58,475","55,341","21,461"
25,はん用機械器具製造業,07,福島県,2019,41,30,8,3,"5,001","24,460","117,616","198,448","189,812","76,239"
25,はん用機械器具製造業,08,茨城県,2019,51,31,6,14,"13,014","84,065","315,590","606,411","591,509","265,158"
25,はん用機械器具製造業,09,栃木県,2019,38,22,13,3,"6,087","35,424","233,716","330,130","311,377","88,828"
25,はん用機械器具製造業,10,群馬県,2019,51,34,12,5,"7,521","38,539","150,733","254,602","222,988","91,082"
25,はん用機械器具製造業,11,埼玉県,2019,79,54,19,6,"10,289","52,122","182,997","356,574","328,769","159,286"
25,はん用機械器具製造業,12,千葉県,2019,44,32,8,4,"4,794","27,046","112,038","191,151","161,286","72,850"
25,はん用機械器具製造業,13,東京都,2019,46,35,8,3,"4,437","24,540","74,804","131,909","119,323","50,579"
25,はん用機械器具製造業,14,神奈川県,2019,96,56,28,12,"18,941","117,851","465,755","728,396","647,196","206,160"
25,はん用機械器具製造業,15,新潟県,2019,58,34,19,5,"7,530","34,292","117,221","199,488","195,344","73,452"
25,はん用機械器具製造業,16,富山県,2019,26,17,8,1,"2,482","11,419","42,453","64,929","64,978","19,142"
25,はん用機械器具製造業,17,石川県,2019,34,21,12,1,"3,545","17,807","63,577","103,213","95,965","35,314"
25,はん用機械器具製造業,18,福井県,2019,6,5,1,***,492,"2,180","10,928","15,877","15,630","4,256"
25,はん用機械器具製造業,19,山梨県,2019,14,7,4,3,"2,963","16,067","47,546","96,985","85,271","45,424"
25,はん用機械器具製造業,20,長野県,2019,69,40,14,15,"12,347","72,360","213,661","368,342","343,089","135,914"
25,はん用機械器具製造業,21,岐阜県,2019,62,42,12,8,"8,685","41,061","188,420","303,902","298,897","102,624"
25,はん用機械器具製造業,22,静岡県,2019,62,46,13,3,"8,611","47,438","196,046","287,028","280,502","76,487"
25,はん用機械器具製造業,23,愛知県,2019,125,75,33,17,"25,520","159,640","885,094","1,225,094","1,178,079","298,023"
25,はん用機械器具製造業,24,三重県,2019,51,25,17,9,"9,918","54,862","210,651","339,336","333,460","107,899"
25,はん用機械器具製造業,25,滋賀県,2019,64,35,20,9,"12,973","72,375","491,109","719,511","714,289","214,189"
25,はん用機械器具製造業,26,京都府,2019,24,14,6,4,"4,188","23,003","110,365","181,793","181,161","64,723"
25,はん用機械器具製造業,27,大阪府,2019,148,105,27,16,"20,509","119,209","433,295","739,421","713,125","284,932"
25,はん用機械器具製造業,28,兵庫県,2019,121,82,28,11,"23,269","147,814","703,647","1,146,449","1,084,472","410,758"
25,はん用機械器具製造業,29,奈良県,2019,20,17,2,1,"1,558","7,287","26,859","51,978","42,817","22,691"
25,はん用機械器具製造業,30,和歌山県,2019,22,14,6,2,"3,880","18,759","102,096","357,854","360,165","235,279"
25,はん用機械器具製造業,31,鳥取県,2019,3,1,2,***,310,"2,144","4,288","7,625","5,924","2,580"
25,はん用機械器具製造業,32,島根県,2019,11,6,4,1,"1,354","7,127","32,451","58,978","55,703","23,619"
25,はん用機械器具製造業,33,岡山県,2019,38,21,16,1,"5,393","28,858","139,619","236,460","231,067","85,588"
25,はん用機械器具製造業,34,広島県,2019,53,32,12,9,"9,362","57,940","308,140","482,005","423,644","167,784"
25,はん用機械器具製造業,35,山口県,2019,22,15,5,2,"2,744","14,189","55,612","90,404","87,349","29,975"
25,はん用機械器具製造業,36,徳島県,2019,13,11,1,1,"1,927","10,471","43,026","64,929","63,227","19,222"
25,はん用機械器具製造業,37,香川県,2019,22,14,6,2,"3,058","15,078","61,371","101,720","96,422","34,320"
25,はん用機械器具製造業,38,愛媛県,2019,30,21,5,4,"4,170","20,664","88,976","171,820","172,720","76,636"
25,はん用機械器具製造業,39,高知県,2019,7,6,1,***,447,"1,657","5,344","9,378","7,850",402
25,はん用機械器具製造業,40,福岡県,2019,51,38,11,2,"4,533","22,837","77,168","144,983","125,950","59,370"
25,はん用機械器具製造業,41,佐賀県,2019,7,6,1,***,572,"2,358","8,905","13,752","9,018","3,573"
25,はん用機械器具製造業,42,長崎県,2019,23,13,6,4,"4,546","31,734","155,463","331,868","327,927","164,510"
25,はん用機械器具製造業,43,熊本県,2019,4,4,***,***,224,"1,017","2,081","4,102","3,885","1,685"
25,はん用機械器具製造業,44,大分県,2019,8,3,2,3,"1,984","8,611","52,281","83,811","89,584","35,525"
25,はん用機械器具製造業,45,宮崎県,2019,6,4,2,***,517,"2,399","8,468","17,952","11,745","8,374"
25,はん用機械器具製造業,46,鹿児島県,2019,3,3,***,***,176,807,"1,091","2,869","2,564","1,565"
25,はん用機械器具製造業,47,沖縄県,2019,1,1,***,***,47,X,X,X,X,X
25,はん用機械器具製造業,61,札幌市,2019,4,4,***,***,181,834,"1,099","2,945","2,964","1,551"
25,はん用機械器具製造業,62,仙台市,2019,2,2,***,***,138,X,X,X,X,X
25,はん用機械器具製造業,63,さいたま市,2019,6,4,2,***,581,"2,676","8,088","15,767","14,688","7,018"
25,はん用機械器具製造業,64,千葉市,2019,2,2,***,***,115,X,X,X,X,X
25,はん用機械器具製造業,65,東京特別区,2019,26,24,2,***,"1,487","8,493","26,572","46,184","35,086","18,124"
25,はん用機械器具製造業,66,横浜市,2019,28,19,6,3,"4,536","31,869","88,285","159,896","118,543","36,605"
25,はん用機械器具製造業,67,川崎市,2019,8,6,1,1,"1,112","6,701","18,635","30,594","26,828","11,699"
25,はん用機械器具製造業,68,相模原市,2019,11,7,2,2,"3,259","19,828","148,183","189,735","189,476","40,516"
25,はん用機械器具製造業,69,新潟市,2019,6,5,1,***,535,"2,284","7,339","12,687","11,423","4,310"
25,はん用機械器具製造業,70,静岡市,2019,12,10,1,1,"2,569","15,804","75,328","103,859","102,853","24,520"
25,はん用機械器具製造業,71,浜松市,2019,7,5,2,***,593,"3,316","8,179","14,562","13,420","5,789"
25,はん用機械器具製造業,72,名古屋市,2019,24,22,2,***,"1,461","7,860","17,425","32,872","29,741","12,283"
25,はん用機械器具製造業,73,京都市,2019,5,3,2,***,475,"2,743","5,696","10,164","8,978","4,148"
25,はん用機械器具製造業,74,大阪市,2019,35,29,5,1,"2,885","17,075","62,648","115,971","102,600","48,425"
25,はん用機械器具製造業,75,堺市,2019,28,19,4,5,"5,173","34,091","168,129","251,218","247,188","80,336"
25,はん用機械器具製造業,76,神戸市,2019,18,12,4,2,"8,176","52,938","266,088","428,703","389,745","156,012"
25,はん用機械器具製造業,77,岡山市,2019,9,5,4,***,"1,026","4,176","36,956","47,538","47,312","9,207"
25,はん用機械器具製造業,78,広島市,2019,10,5,2,3,"2,242","15,937","68,444","104,974","98,558","34,629"
25,はん用機械器具製造業,79,北九州市,2019,12,11,1,***,752,"4,284","11,334","21,404","19,164","8,438"
25,はん用機械器具製造業,80,福岡市,2019,2,1,1,***,171,X,X,X,X,X
25,はん用機械器具製造業,81,熊本市,2019,1,1,***,***,86,X,X,X,X,X
26,生産用機械器具製造業,00,全国計,2015,"3,777","2,904",674,199,"388,894","2,103,331","9,338,264","14,939,106","14,347,058","5,194,338"
26,生産用機械器具製造業,00,全国計,2016,"3,791","2,838",732,221,"418,113","2,224,285","9,520,934","15,284,573","14,551,390","5,357,111"
26,生産用機械器具製造業,00,全国計,2017,"3,931","2,924",774,233,"440,936","2,355,699","11,164,879","17,609,965","16,840,758","6,240,746"
